quarter,time,call_category,call_type,committing_player,committing_team,disadvantaged_player,disadvantaged_team,decision,indirect,comment,flag,date,away,home,winner,game,video,ref_1,ref_2,ref_3,game_info,source
Q4,02:00.0,Turnover,Traveling,Shaun Livingston,Warriors,,Celtics,CC,,Livingston (GSW) moves his pivot foot heel to toe.,,"Mar 01, 2015",Warriors,Celtics,Warriors,"Warriors @ Celtics (Mar 01, 2015)",http://official.nba.com/last-two-minute-report/?gameNo=0021400880&eventNum=507,#19 James Capers,#12 Violet Palmer,#29 Mark Lindsay,http://www.nba.com/games/20150301/GSWBOS/gameinfo.html,http://official.nba.com/wp-content/uploads/sites/4/2015/03/L2M-GSW-BOS-3-1-15.pdf
Q4,00:45.0,Foul,Personal,Avery Bradley,Celtics,Stephen Curry,Warriors,CNC,,Bradley (BOS) knocks the ball away from Curry (GSW) in the back court.,,"Mar 01, 2015",Warriors,Celtics,Warriors,"Warriors @ Celtics (Mar 01, 2015)",http://official.nba.com/last-two-minute-report/?gameNo=0021400880&eventNum=1285,#19 James Capers,#12 Violet Palmer,#29 Mark Lindsay,http://www.nba.com/games/20150301/GSWBOS/gameinfo.html,http://official.nba.com/wp-content/uploads/sites/4/2015/03/L2M-GSW-BOS-3-1-15.pdf
Q4,00:41.7,Turnover,8 Second Violation,,,,,CNC,true,", , The ball passes over midcourt before eight seconds while still in team possession.",,"Mar 01, 2015",Warriors,Celtics,Warriors,"Warriors @ Celtics (Mar 01, 2015)",http://official.nba.com/last-two-minute-report/?gameNo=0021400880&eventNum=1286,#19 James Capers,#12 Violet Palmer,#29 Mark Lindsay,http://www.nba.com/games/20150301/GSWBOS/gameinfo.html,http://official.nba.com/wp-content/uploads/sites/4/2015/03/L2M-GSW-BOS-3-1-15.pdf
Q4,00:31.7,Foul,Personal,Isaiah Thomas,Celtics,Andre Iguodala,Warriors,CNC,,Thomas (BOS) cleanly knocks the ball away from Iguodala (GSW),,"Mar 01, 2015",Warriors,Celtics,Warriors,"Warriors @ Celtics (Mar 01, 2015)",http://official.nba.com/last-two-minute-report/?gameNo=0021400880&eventNum=1288,#19 James Capers,#12 Violet Palmer,#29 Mark Lindsay,http://www.nba.com/games/20150301/GSWBOS/gameinfo.html,http://official.nba.com/wp-content/uploads/sites/4/2015/03/L2M-GSW-BOS-3-1-15.pdf
Q4,00:24.8,Turnover,Traveling,Jae Crowder,Celtics,Harrison Barnes,Warriors,INC,,Crowder (BOS) moves his left pivot foot after receiving the ball.,,"Mar 01, 2015",Warriors,Celtics,Warriors,"Warriors @ Celtics (Mar 01, 2015)",http://official.nba.com/last-two-minute-report/?gameNo=0021400880&eventNum=1289,#19 James Capers,#12 Violet Palmer,#29 Mark Lindsay,http://www.nba.com/games/20150301/GSWBOS/gameinfo.html,http://official.nba.com/wp-content/uploads/sites/4/2015/03/L2M-GSW-BOS-3-1-15.pdf
Q4,00:22.6,Turnover,Out of Bounds,Avery Bradley,Celtics,,Warriors,INC,,Bradley (BOS) steps out of bounds while pump faking.,,"Mar 01, 2015",Warriors,Celtics,Warriors,"Warriors @ Celtics (Mar 01, 2015)",http://official.nba.com/last-two-minute-report/?gameNo=0021400880&eventNum=1290,#19 James Capers,#12 Violet Palmer,#29 Mark Lindsay,http://www.nba.com/games/20150301/GSWBOS/gameinfo.html,http://official.nba.com/wp-content/uploads/sites/4/2015/03/L2M-GSW-BOS-3-1-15.pdf
Q4,00:17.8,Foul,Personal,Draymond Green,Warriors,Isaiah Thomas,Celtics,CC,,Green (GSW) grabs the arm of Thomas (BOS).,,"Mar 01, 2015",Warriors,Celtics,Warriors,"Warriors @ Celtics (Mar 01, 2015)",http://official.nba.com/last-two-minute-report/?gameNo=0021400880&eventNum=530,#19 James Capers,#12 Violet Palmer,#29 Mark Lindsay,http://www.nba.com/games/20150301/GSWBOS/gameinfo.html,http://official.nba.com/wp-content/uploads/sites/4/2015/03/L2M-GSW-BOS-3-1-15.pdf
Q4,00:10.5,Foul,Personal,Avery Bradley,Celtics,Stephen Curry,Warriors,CC,,Bradley (BOS) commits a take foul on Curry (GSW).,,"Mar 01, 2015",Warriors,Celtics,Warriors,"Warriors @ Celtics (Mar 01, 2015)",http://official.nba.com/last-two-minute-report/?gameNo=0021400880&eventNum=534,#19 James Capers,#12 Violet Palmer,#29 Mark Lindsay,http://www.nba.com/games/20150301/GSWBOS/gameinfo.html,http://official.nba.com/wp-content/uploads/sites/4/2015/03/L2M-GSW-BOS-3-1-15.pdf
Q4,00:02.9,Foul,Personal,Avery Bradley,Celtics,Stephen Curry,Warriors,CC,,Bradley (BOS) commits a take foul on Curry (GSW).,,"Mar 01, 2015",Warriors,Celtics,Warriors,"Warriors @ Celtics (Mar 01, 2015)",http://official.nba.com/last-two-minute-report/?gameNo=0021400880&eventNum=541,#19 James Capers,#12 Violet Palmer,#29 Mark Lindsay,http://www.nba.com/games/20150301/GSWBOS/gameinfo.html,http://official.nba.com/wp-content/uploads/sites/4/2015/03/L2M-GSW-BOS-3-1-15.pdf
Q4,01:52.0,Foul,Shooting,Josh Smith,Rockets,Kevin Love,Cavaliers,CNC,,Smith (HOU) does not make contact with Love (CLE) as he attempts the layup.,,"Mar 01, 2015",Cavaliers,Rockets,Rockets,"Cavaliers @ Rockets (Mar 01, 2015)",http://official.nba.com/last-two-minute-report/?gameNo=0021400883&eventNum=1308,#43 Dan Crawford,#38 Michael Smith,#6 Tony Brown,http://www.nba.com/games/20150301/CLEHOU/gameinfo.html,http://official.nba.com/wp-content/uploads/sites/4/2015/03/L2M-CLE-HOU-3-1-15.pdf
